Name,Bugs,Vulnerabilities,Code Smells,Duplication,#LOC,,Vulnerability 1,Vulnerability 2,Vulnerability 3
com.and.schedules.nwnc___1.0.6.apk,325,1,7203,5.4,111417,,Use secure mode and padding scheme (1),,
com.ascensia.abound.us___1.12.0-rc.2.apk,,,,,,,,,
com.babylon.us___4.0.0.200054390.apk,1163,7,33213,37,100794,,Use secure mode and padding scheme (1),Lower the visibility of this field (6),
com.coronacheck.haugxhaug.testyourcorona___1.1.apk,495,0,8327,6.6,140075,,,,
com.cube.gdpc.aus___3.3.0.apk,,,,,,missed,,,
com.designit.covid_19___1.0.0.apk,109,0,2781,1.3,39020,,,,
com.erictelm2m.colabora___4.1.apk,723,0,15751,4.1,260854,,,,
com.fitnessmobileapps.silenciobarcelona___4.2.9.apk,675,4,25476,5.3,206273,,Enable server certificate validation on this SSL/TLS connection (1),Change this code to use a stronger protocol (2),Lower the visibility of this setter or remove it altogether (1)
com.freestylelibre.app.us___2.2.2.apk,741,2,15868,2.9,220086,,Enable server certificate validation on this SSL/TLS connection (2),,
com.freestylelibre.app.us___2.5.2.apk,719,2,19272,7.1,83261,,Lower the visibility of this field (2),,
com.imaidea.norgine.coloncop___1.0.1.apk,2,0,169,0,1931,,,,
com.intellicare.covid___1.0.17.apk,1180,8,29521,4.9,151700,,Use secure mode and padding scheme (5),Lower the visibility of this field (3),
com.mjn.us.hcp.productguide___1.0.1.apk,541,2,11451,7.6,158557,,Change this code to use a stronger protocol (2),,
com.motionvibe.calfit___4.8.13.apk,74,0,2400,1.1,24757,,,,
com.motionvibe.calfit___4.8.3.apk,74,0,2400,1.1,24757,,,,
com.myaus___38.apk,952,2,18651,3.4,246809,,Change this code to use a stronger protocol (1),Use secure mode and padding scheme (1),
com.myhealthadvisor___3.0.apk,368,0,7282,1.9,101664,,,,
com.netcompany.smittestop_exposure_notification___1.1.apk,918,0,15515,3.2,188580,,,,
com.onefitstop.plc___11.0.apk,,,,,,missed,,,
com.onefitstop.plc___12.0.apk,,,,,,,,,
com.proudcrowd.care___3.1.apk,1112,1,23846,3.4,280836,,Change this code to use a stronger protocol (1),,
com.proudcrowd.exposure___1.1.apk,1503,1,30040,4.7,375370,,Change this code to use a stronger protocol (1),,
com.proyecto.clubnataciobarcelona___3.67.29.apk,,,,,,missed,,,
com.retinarisk___2.1.43.apk,,,,,,missed,,,
com.retinarisk___2.1.54.apk,,,,,,,,,
com.ri.crushcovid___2.2.apk,,,,,,missed,,,
